ID,ESPAÑOL,INGLÉS
fase2_Off_1;¿Crees que hay un fin? ¿O es que no sabes ni siquiera dónde está el principio?;Do you think there is an end? Or do you perhaps not even know where the beginning is?
fase2_Character_1;¡Una lagartija! Es mi favorita;A lizard! It’s my favorite
fase2_Character_2;¡No te escapes! ¿Dónde estás?;Don’t go! Where are you? 
fase2_Off_2;Lo bello a veces no siempre regresa. Perseguimos frustrados para encontrar  aquello que nunca buscamos…;Beautiful things do not always come back to us. Frustration makes us chase that which we never seek…
fase2_Off_3;Parece infinito;It feels endless
fase2_Character_3;Qué cansancio… no sé qué hacer. ¿Tomo este camino?;So tired… I don’t know what to do. Shall I go down this path?
fase2_Off_4;¿Desubicada? Tu interior siempre creará tu realidad… No dejes que el  fuego te domine…;Feeling disoriented? Your inner self will always create your own reality… Don’t let the fire take over… 
fase2_Character_4;¿Acaso todo esto es mi casa? ¿O es mi mente?;Is all this my house? Or is it my mind?
fase2_Character_5;Oh, Dios mío. ¡Quién soy!;Goodness... Who am I?!
fase2_Off_5;Todo esto eres tú. Lo has creado tú…;All this is you. You have created it…
fase2_Character_6;Por favor, ¿Dónde están las risas, los bailes, las personas? Me arde el alma;Please, where is the laughter, the dancing, the people? My soul is burning
fase2_Off_6;Domina ese fuego… Si no… solo te llevará a la desazón…;Tame that fire… Otherwise… it will only lead you to despair…
fase2_Off_7;Aspiramos a ofrecer el mejor aroma a nuestras vidas. Cuando dejes de  perseguirlo, lo atraerás;We strive to fill our lives with the best aroma. As soon as you stop chasing it, it will come to you
fase2_Character_7;Yo conozco esto… ¿Es de mis …?;I know this… Is it my…? 
fase2_Character_8;¡Mi familia! ¿Cómo está? ¿Me estoy volviendo loca?;My family! How are they? Am I going mad?
fase2_Off_8;Sé que buscas una salida, paciencia. Estás en el lugar que debes estar. Solo debes  recordar cómo volver a confiar;I know you are looking for an exit. Patience. You are where you need to be. All you have to do is remember how to trust again
fase2_Character_9;El agua está desapareciendo… ¿En qué dimensión vivo?;The water is disappearing… What dimension am I in? 
fase2_Character_10;¡Se acabó! Me rindo;Enough! I give up
fase2_Character_11;He perdido todo. La paz, el rumbo, los recuerdos…;I’ve lost everything. My peace, my bearings, my memories…
fase2_Off_9;Llegará a tu vida lo que deseas de verdad, pero debes estar en paz con el  hecho de que no suceda…;Everything you really wish for will come to you, but you must be at peace with the fact that it may not happen…
fase2_Character_12;¡Solo quiero volver a lo de antes!;I just want to go back to the way things were!
fase2_Off_10;Dicen que, si el dolor no es muy grande, no tenemos el valor para cambiar… ;They say that, if the pain is not too great, we will not have the courage to change…
fase2_Off_11;Comprende tu ira;Understand your rage
fase2_Character_13;¿Qué hay detrás de esto que siento?;What lies behind what I feel? 
fase2_Character_14;Oye! ¡Estás aquí!;Hey, there you are! 
fase2_Character_15;¿O eres un espejismo?;Or are you a mirage?
fase2_Off_12;Da un paso al vacío. Allí está la verdadera aventura…;Take a leap of faith, into the void. That’s where the true adventure lies…
